quantity,part,specification,use
1,1 A fuse,Enclosed holder or inline type,As close as possible to Holder B positive
2,2×AA semi-enclosed battery holder,Approx. 58×32×15 mm,Series connection for 4×AA
4,AA alkaline battery,1.5 V; matching brand and state of charge,6 V nominal supply
2,DC184 momentary push button,Red and yellow; Ø12.0 mm tested hole,Red and yellow LED branches
2,DC180 momentary push button,Black and blue; Ø16.0 mm tested hole,Green LED and buzzer
1,DC131A on/off switch,Ø20.2 mm; 12 V illuminated type,Use switch contacts only
1,DC120 2P on/off switch,19.0×13.0 mm tested cutout,Main power
1,1K potentiometer,7.0 mm bushing; 6.2 mm shaft socket,White LED dimmer
10,330 ohm 1 W resistor,Orange-orange-brown,5 used plus spares
4,10 mm LED,"Red, yellow, green, blue",One 330 Ω resistor per LED
1,10 mm white LED,"Clear, standard two-lead",Dimmer branch
1,12 mm active buzzer,"5–12 V, self-driven",Do not use the passive 22 mm buzzer
2 m,stranded wire,0.22–0.50 mm²,Red and black recommended
1 set,heat-shrink tubing,2–4 mm,Insulate every solder joint
1 tube,neutral-cure silicone,Electronics-safe,LED vibration support; not the sole retainer
print,approximately 450 g,1.75 mm PETG filament,"Body, back plate, and dial"
